pSTAT5,Foxp3,CD25,PD1,CD4,Position X,Position Y,Position Z
46.3836,405.632,51.0681,63.5353,210.953,983.11,1494.65,3.26781
43.1386,264.156,44.7203,180.178,317.896,821.687,1652.23,7.71384
31.3505,294.518,62.8932,291.499,213.436,819.42,1658.37,12.4768
34.0206,343.235,23.0371,573.691,287.224,1054.64,1421.62,12.0742
49.4327,335.208,93.4101,106.259,269.427,972.091,1507.48,3.8488
31.5003,375.921,30.8704,686.318,226.164,512.906,1964.68,11.8282
65.6693,348.997,107.316,129.175,191.329,797.729,1682.22,1.08625
29.7144,296.415,89.1959,67.4873,179.674,833.668,1643.67,13.0533
61.661,400.277,69.9453,164.453,328.988,961.621,1520.48,4.80532
40.0727,264.689,55.2355,61.3634,89.7834,977.207,1504.4,7.26736
39.3791,418.241,94.7231,150.896,295.382,951.574,1530.58,11.8801
43.1225,256.19,52.3942,119.077,238.863,664.934,1815.73,9.97331
44.2235,419.589,71.3099,88.6671,122.309,830.395,1650.05,11.9199
51.8792,477.646,264.075,248.523,330.675,840.82,1609.49,9.13876
64.7013,534.071,51.0964,110.361,285.943,874.799,1575.26,3.92833
71.6549,248.493,100.535,208.711,267.958,810.145,1637.03,3.64301
27.1088,379.95,49.9128,93.4884,207.534,768.002,1678.31,12.4948
55.2187,483.198,159.905,147.774,266.488,911.916,1537.28,8.68563
42.5775,309.268,38.4587,93.2332,254.44,772.276,1676.8,5.54324
38.7802,344.127,36.4352,647.933,280.857,569.475,1877.39,14.0302
30.5923,451.636,132.201,164.294,224.429,838.391,1609.44,13.193
18.3814,249.581,23.907,63.0512,134.92,679.378,1768.54,13.4928
25.5865,232.438,82.7058,56.6099,126.466,741.057,1710.84,12.5715
59.9566,387.104,46.9496,250.671,441.448,950.203,1504.94,8.18394
56.807,493.084,81.4379,130.865,251.745,909.032,1546.98,3.9946
48.6252,285.181,47.907,749.393,282.945,526.367,1925.81,12.6704
76.4905,461.234,133.595,94.4905,205.115,840.538,1615.63,3.23556
61.5687,326.152,55.3318,540.22,218.472,615.953,1842.96,4.77403
77.516,355.088,120.477,124.836,382.268,669.748,1789.09,3.53625
63.941,262.555,73.974,994.277,272.98,576.711,1881.31,7.96006
57.9787,444.225,58.2234,865.924,255.049,586.359,1873.8,7.33757
52.1376,335.876,53.4671,281.282,393.574,926.011,1532.43,8.72805
31.7206,252.525,45.0091,41.6227,181.508,1026.26,1431.44,9.882
36.7803,241.177,62.0971,130.471,149.93,925.092,1535.01,4.46359
74.0334,298.719,96.8468,172.944,167.184,789.824,1670.37,1.4007
34.4241,294.018,36.6199,431.829,210.055,536.912,1925.06,12.8797
44.3232,532.324,60.2187,648.161,264.255,660.638,1802.74,8.12215
68.4295,490.278,71.6304,361.24,324.358,979.712,1483.73,4.60736
35.3145,366.707,48.2693,157.47,340.826,918.344,1543.3,13.0704
52.481,511.264,91.791,88.314,243.181,795.266,1669.53,2.27156
40.9718,400.572,131.075,80.5264,158.791,459.56,2004.22,10.0314
85.1641,310.122,104.156,70.8451,161.466,695.508,1773.32,3.26473
34.5095,469.739,100.075,66.0067,228.338,850.978,1612.92,12.4091
47.8166,301.058,70.358,112.388,341.64,871.705,1592.51,12.799
36.2966,384.103,63.9056,161.074,246.428,824.607,1605.1,13.1776
39.3525,304.523,56.5372,104.348,224.434,799.196,1627.57,9.56308
27.7613,317.327,40.25,122.499,181.633,794.607,1632.88,13.5928
49.2087,380.565,87.7605,116.759,298.663,798.685,1630.9,11.743
41.4963,316.886,82.8379,198.613,294.44,815.821,1614.31,8.14272
22.8019,249.27,26.1997,57.3066,167.77,744.951,1684.04,13.0752
30.1781,444.423,127.139,119.679,210.326,782.08,1648.67,12.5374
44.706,419.735,116.331,165.668,259.707,1033.41,1400.02,11.4361
87.2539,230.787,77.6928,262.696,360.038,834.216,1597.57,5.12999
57.1847,487.975,158.167,135.644,247.189,817.599,1618.64,4.82656
52.9571,685.101,180.382,128.617,279.727,827.754,1608.35,5.71814
52.4349,321.208,74.7872,97.8481,332.602,867.067,1569.4,8.44099
55.9397,316.994,75.4526,85.7457,220.71,755.383,1681.84,6.3607
43.4437,401.919,141.166,108.753,256.294,819.888,1617.03,9.25715
42.6399,391.897,102.193,104.357,237.262,873.37,1563.49,9.89686
53.5354,230.594,100.334,103.983,270.008,894.986,1542.18,11.7719
22.0673,262.919,49.1886,122,111.246,942.384,1492.72,13.1276
128.775,300.925,176.17,147.408,419.826,921.82,1526.67,4.5994
30.543,353.342,41.943,117.815,179.889,674.961,1763.02,12.9136
37.1483,531.832,85.8698,104.327,191.555,834.432,1605.13,13.2789
53.914,488.36,160.329,151.666,293.718,879.191,1562.86,7.35718
30.1717,311.223,54.4794,49.3813,211.547,912.344,1527.56,12.796
54.8551,392.428,44.8784,293.375,259.066,789.042,1654.06,2.45451
67.7733,342.005,84.8087,83.2432,212.132,754.915,1687.11,5.21999
33.9207,262.343,32.2728,264.53,310.331,785.213,1658.02,8.21986
45.6992,286.854,49.2504,931.854,269.634,566.377,1877.76,10.5896
56.2198,383.385,80.6769,278.119,287.026,896.847,1548.7,6.17619
38.3853,299.477,36.0621,711.631,252.405,519.91,1926.15,12.4228
77.9154,398.951,77.9746,289.452,373.718,842.963,1603.78,11.592
66.6339,379.524,141.305,127.333,302.432,660.758,1789.9,5.24239
48.6536,317.009,168.395,136.638,368.181,842.758,1564.56,11.4549
37.611,373.138,75.113,140.972,256.842,720.926,1687.81,10.1214
70.3956,375.015,101.315,101.408,278.302,796.79,1611.7,9.44797
45.504,447.04,64.0794,76.1886,277.041,863.401,1547.3,7.55005
53.9557,373.469,83.8537,92.9503,252.854,873.527,1538.42,5.17773
48.6988,330.882,160.2,145.075,320.308,842.428,1567.2,11.9134
63.3926,410.796,278.048,114.013,405.969,819.952,1592.33,9.37975
28.2901,381.057,53.017,113.839,230.799,862.899,1549.13,13.0017
45.1455,562.958,36.3111,205.241,412.51,945.603,1468.47,10.3257
32.5618,372.58,56.7355,146.765,258.624,715.978,1698.76,9.53371
63.8812,370.75,82.108,93.9522,220.216,798.845,1615.2,10.1906
65.3232,445.84,85.9466,241.591,403.494,760.811,1657.31,6.18104
52.3408,339.035,96.6635,216.589,313.688,806.111,1610.16,9.70097
89.2578,246.914,68.8793,127.198,213.72,785.393,1631.54,7.1579
25.1716,374.134,33.3115,63.7743,183.8,977.995,1439.54,13.0632
47.3076,349.637,53.8396,73.1341,190.537,744.529,1673.97,6.51064
70.1906,407.264,84.1458,115.664,218.71,794.229,1626.74,5.87654
26.7006,312.243,32.5178,51.7202,115.902,895.477,1522.17,12.5334
57.1032,417.06,108.396,113.059,311.441,810.182,1607.8,12.8225
39.1778,282.854,163.259,210.618,288.502,901.637,1517.53,12.4987
75.241,309.818,107.403,159.156,374.446,887.45,1535.32,9.96275
64.3464,328.335,57.6272,68.8924,316.239,768.624,1652.86,6.4615
22.2466,232.704,39.3082,68.6695,161.639,858.283,1561.72,12.4229
69.6793,435.339,75.4057,83.0723,299.337,871.75,1551.96,5.88974
73.0568,426.51,182.943,193.403,268.058,690.622,1735.71,5.98739
