pSTAT5,Foxp3,CD25,PD1,CD4,Position X,Position Y,Position Z
37.3415,41.0647,40.1116,95.5859,181.488,858.925,1555.33,4.80758
25.7358,76.2528,23.4478,60.0454,203.771,832.728,1578.7,13.7162
42.0035,36.0858,50.6434,86.1115,221.714,900.089,1513.28,10.3952
35.5945,38.9251,36.981,84.9322,223.983,892.165,1521.56,7.0677
28.3996,34.9305,40.1714,64.3399,192.193,734.133,1679.32,10.3913
25.4616,22.8188,24.0682,57.5021,172.274,777.161,1635.08,12.4063
64.1881,63.1115,133.188,145.113,208.384,807.526,1607.74,5.57822
44.6109,56.0019,63.8446,107.816,166.793,872.382,1542.14,9.158
39.4451,35.1827,46.8517,98.4602,218.698,813.642,1599.51,9.40539
34.1987,39.6054,32.7919,79.8685,250.22,904.803,1507.97,8.89952
35.8208,29.3239,25.4303,72.591,205.995,773.237,1643.74,6.30462
27.3803,30.2955,51.8727,103.618,181.673,804.632,1608.46,13.6242
36.7683,29.4095,89.7048,250.51,189.37,884.619,1528.23,10.3566
35.974,40.3323,29.158,79.6591,172.911,769.054,1645.3,7.14085
19.8003,16.8336,16.0116,40.6007,168.647,752.731,1659.76,13.128
38.676,38.0107,59.8139,179.628,228.912,883.618,1530.73,7.34001
59.7701,81.7888,173.711,99.2513,220.668,820.897,1593.49,5.93041
46.4043,51.311,42.1763,81.4307,196.055,731.856,1683.52,4.84748
25.2992,25.4178,30.5249,65.9818,164.466,784.279,1630.29,12.2289
61.1739,44.5217,143.533,89.0172,314.819,897.336,1517.97,5.30567
41.4032,49.8328,36.1615,91.7503,198.737,856.16,1559.41,6.0392
30.8541,30.3899,32.6864,67.6368,195.905,859.71,1555.66,10.9344
29.154,25.2632,74.5692,211.405,173.246,886.468,1526.51,12.4179
28.321,27.8834,27.7388,78.6919,207.289,830.271,1584.03,12.9675
26.9533,27.4352,26.8765,58.7967,223.693,906.406,1507.11,13.4299
47.909,45.3579,64.6568,80.9201,229.614,901.416,1515.27,4.1198
66.431,52.037,176.341,78.0057,212.35,818.761,1597.66,6.74709
24.1912,23.1383,26.0247,52.4793,163.979,781.616,1635.15,12.9822
41.8293,40.6196,36.9052,74.6101,176.758,768.249,1648.48,4.25121
35.3871,30.8446,26.402,57.6713,279.324,837.892,1576.78,12.7343
26.0268,32.3268,38.2197,125.146,220.028,810.786,1603.52,9.48626
54.2809,84.4225,75.6582,131.022,186.916,758.59,1660.87,4.74312
32.9971,34.1285,36.3347,69.6406,167.155,764.879,1655.49,7.57744
43.9184,49.4388,34.2149,74.9746,237.562,833.071,1583,8.097
46.0328,43.878,45.5236,107.524,192.419,887.176,1529.78,4.3404
38.4414,42.6238,47,54.4928,193.815,844.041,1574.58,13.3597
42.3935,49.9733,67.1902,74.9924,208.829,910.577,1508.23,11.8535
35.3135,38.214,39.6374,101.889,200.308,812.515,1603.89,3.73533
20.625,20.0536,19.3738,78.3833,182.155,815.738,1599.41,14.1472
26.7369,27.9513,29.3983,57.1888,185.942,801.793,1612.92,13.3166
56.3194,49.3403,56.2964,65.6587,164.519,844.171,1573.28,7.83424
34.1229,33.9552,29.206,51.7193,176.927,848.475,1567.66,5.83412
44.1781,46.2849,40.8123,123.544,203.352,830.15,1587.47,8.27938
34.5378,34.921,32.9008,57.195,170.42,907.186,1510.37,3.97822
38.7716,33.5385,30.328,62.984,238.885,837.47,1580.9,8.38869
33.9002,32.0981,28.2893,71.6751,182.173,870.907,1546.45,8.52508
35.7935,38.3923,48.4813,80.92,192.041,816.26,1601.44,4.81397
36.8887,35.6836,37.412,68.2259,173.93,854.752,1563.65,9.97668
47.2984,39.4846,35.1677,77.8064,179.875,758.546,1659.13,9.93995
45.4135,36.2338,33.45,112.661,222.557,891.637,1526.76,5.66879
43.4224,36.0852,49.1172,91.5658,220.954,811.781,1610.03,4.99955
37.3278,40.6501,42.0378,74.5663,177.001,892.318,1525.91,10.0302
49.6813,43.1403,47.4759,90.1594,161.932,906.713,1515.79,3.94527
58.1042,52.8229,52.4984,149.869,185.922,861.138,1560.08,3.84397
47.5825,40.9431,35.4743,72.9348,200.638,856.133,1564.54,3.59118
23.9065,28.9031,29.699,47.0238,179.361,738.942,1678.67,10.2221
36.4229,37.4521,79.7646,75.4198,178.141,820.631,1598.66,10.9642
34.2646,37.6366,34.2859,73.9267,163.774,750.58,1670.36,2.65403
39.2986,53.3546,37.3481,84.9622,193.532,766.686,1653.69,1.70657
19.9088,8.20994,14.3149,58.6215,197.807,890.374,1526.48,15.0943
36.1997,33.8439,37.6085,70.8757,180.079,805.419,1615.75,4.74348
41.8797,49.291,74.8446,107.357,196.853,898.343,1521,9.22122
23.1639,23.6475,24.0874,47.0369,196.154,847.896,1570.03,14.0675
50.5466,39.8692,34.2124,67.4585,235.36,841.561,1578.27,7.4586
30.3516,44.7341,46.2534,93.6474,227.431,816.751,1604.44,8.00256
40.6436,52.7905,47.1338,84.2428,170.539,866.911,1555.69,6.38551
36.5099,35.4947,27.8862,109.241,198.46,763.765,1657.28,2.3059
42.2112,37.7021,28.1483,61.4238,207.183,852.874,1569.39,4.79565
39.4054,38.25,30.4482,66.3768,263.107,852.722,1566.74,6.98578
30.2021,25.3665,27.2356,51.0649,201.889,835.253,1583.99,13.5948
33.2598,32.5599,33.8664,66.5143,207.111,777.656,1645.91,7.84609
26.8081,17.6146,28.7895,66.9954,226.783,889.374,1530.11,13.162
34.4302,23.5346,105.519,65.6918,224.956,823.953,1596.77,13.7585
34.9526,48.6482,42.4777,135.465,276.352,813.099,1608.01,9.44631
25.8378,25.3904,23.1194,87.82,196.116,881.997,1537.83,13.8015
47.5066,39.8091,43.5618,82.958,176.086,911.596,1512.21,5.58099
48.9453,40.993,44.4432,83.6255,241.627,903.039,1519.88,3.95956
41.9161,32.4402,33.2063,74.0839,291.223,890.891,1531.41,6.86158
30.9342,22.6814,22.0329,49.8821,241.328,839.574,1582.55,13.63
32.9049,38.92,27.587,108.415,227.425,829.851,1590.78,12.7287
